#property,gn:countryCode,category,value,period,geo:lat,geo:long,color
barley_2010_No.1,DE,barley,10412000,2010,52.518555,13.37462,#47c682
barley_2010_No.2,FR,barley,10102000,2010,48.861751,2.3186617,#47c682
barley_2010_No.3,UA,barley,8485000,2010,50.447675,30.533687,#47c682
barley_2010_No.4,RU,barley,8350000,2010,55.752781,37.618408,#47c682
barley_2010_No.5,ES,barley,8157000,2010,40.418534,-3.7128307,#476ec6
barley_2010_No.6,CA,barley,7605000,2010,45.424329,-75.698513,#476ec6
barley_2010_No.7,AU,barley,7294000,2010,35.308236,149.12515,#476ec6
barley_2010_No.8,TR,barley,7240000,2010,39.91104,32.850721,#476ec6
barley_2010_No.9,UK,barley,5252000,2010,51.499183,-0.12464066,#476ec6
barley_2010_No.10,US,barley,3925000,2010,38.897159,-77.036207,#476ec6
barley_2010_No.11,PL,barley,3533000,2010,52.225155,21.028134,#98aee0
barley_2010_No.12,IR,barley,3210000,2010,35.699555,51.337861,#98aee0
barley_2010_No.13,AR,barley,2983000,2010,-34.60972,-58.392549,#98aee0
barley_2010_No.14,DK,barley,2981000,2010,55.67482,12.580519,#98aee0
